Time	sum(Output total – Blocks (LTC)) – Litecoin
19.04.2014	215223863418188
20.04.2014	207267963964030
21.04.2014	164328485240803
22.04.2014	229624890557779
23.04.2014	250151838067794
24.04.2014	242947091491880
25.04.2014	1036889466042479
26.04.2014	988050201231705
27.04.2014	625483235291826
28.04.2014	484347561444472
29.04.2014	408502184677269
30.04.2014	545451455147806
01.05.2014	415669106420143
02.05.2014	235266668830351
03.05.2014	532910933515643
04.05.2014	631175104199816
05.05.2014	571317627851269
06.05.2014	440184744356178
07.05.2014	299721432049570
08.05.2014	374633840178253
09.05.2014	379601890835858
10.05.2014	475805378408986
11.05.2014	957850102270169
12.05.2014	449064697606892
13.05.2014	522442543785748
14.05.2014	312410121053601
15.05.2014	347640914455269
16.05.2014	544665534198038
17.05.2014	102579767889599
18.05.2014	173145707618212
19.05.2014	218625600802562
20.05.2014	551062513646472
21.05.2014	445048064420688
22.05.2014	467121246915678
23.05.2014	1357668521363119
24.05.2014	355254781059757
25.05.2014	1667834249003213
26.05.2014	433155297590586
27.05.2014	531104422573834
28.05.2014	455168332665870
29.05.2014	634876238175669
30.05.2014	931413760700014
31.05.2014	642159498770955
01.06.2014	1890916795620621
02.06.2014	2051121827468023
03.06.2014	924954114118809
04.06.2014	522939573680564
05.06.2014	561969640234003
06.06.2014	251174648860038
07.06.2014	155673435770896
08.06.2014	269451857174557
09.06.2014	260232291674969
10.06.2014	280184635595864
11.06.2014	236893745527375
12.06.2014	584920423679055
13.06.2014	357376570036255
14.06.2014	433942125375931
15.06.2014	435054775439110
16.06.2014	978268867557965
17.06.2014	431370536586662
18.06.2014	569512938893935
19.06.2014	835864401220376
20.06.2014	476561801621471
21.06.2014	244758387793461
22.06.2014	285999070783173
23.06.2014	362379502590858
24.06.2014	317964380181767
25.06.2014	378572654487331
26.06.2014	429843496110511
27.06.2014	318892055590522
28.06.2014	330096830751293
29.06.2014	456418326349280
30.06.2014	767523574549231
01.07.2014	798508718712243
02.07.2014	2140144007982487
03.07.2014	740343355646772
04.07.2014	1033843013311596
05.07.2014	1168229199177597
06.07.2014	1126436125994232
07.07.2014	1659006296383221
08.07.2014	541213658647144
09.07.2014	641666277710717
10.07.2014	336164599615103
11.07.2014	362866451486342
12.07.2014	879303929657057
13.07.2014	753738675660852
14.07.2014	519488363420981
15.07.2014	525159575470951
16.07.2014	326118341773550
17.07.2014	358898388257142
18.07.2014	647682407662440
19.07.2014	866979747000778
20.07.2014	557817695121509
21.07.2014	372989916031547
22.07.2014	196649743519134
23.07.2014	190968729510756
24.07.2014	776892115989212
25.07.2014	911127081813440
26.07.2014	585526499180652
27.07.2014	259285309020691
28.07.2014	332481959664847
29.07.2014	213007829559523
30.07.2014	290662366217241
31.07.2014	420610051049278
01.08.2014	311428542871569
02.08.2014	266978297483244
03.08.2014	151669224774099
04.08.2014	816397881498140
05.08.2014	730584446744789
06.08.2014	423645758701215
07.08.2014	1276779725993807
08.08.2014	633570973396905
09.08.2014	282486641872296
10.08.2014	209943918697401
11.08.2014	1237221257367282
12.08.2014	1816682300352520
13.08.2014	1706484023677446
14.08.2014	1627843663282842
15.08.2014	1039733406276053
16.08.2014	677773812274849
17.08.2014	759421820328143
18.08.2014	3516216737618639
19.08.2014	2845403632176141
20.08.2014	4335447195473020
21.08.2014	2380584400127460
22.08.2014	1613602326701700
23.08.2014	455098589302599
24.08.2014	844480507629655
25.08.2014	374005392323936
26.08.2014	292035943657762
27.08.2014	697959191990127
28.08.2014	382429565914203
29.08.2014	310631915884960
30.08.2014	224969069595040
31.08.2014	807043456247260
